"","OBJECTID","Basin_Numb","Basin_Subb","Basin_Name","Basin_Su_1","Region_Off","Area_Acres","gwe_pre_ft_yr","gwe_post_ft_yr","no3_pre_mg_L_yr","no3_post_mg_L_yr","cr6_pre_ug_L_yr","cr6_post_ug_L_yr","as_pre_ug_L_yr","as_post_ug_L_yr","gwe_d_ft_yr","no3_d_mg_L_yr","cr6_d_ug_L_yr","as_d_ug_L_yr"
"1",6,"5-021","5-021.53","SACRAMENTO VALLEY","SACRAMENTO VALLEY - BEND","NRO",22676,-0.558944707396472,0.66846577603871,0.158571119435771,0.0519335795157817,0.115399267144321,-0.0840413564197676,0.144905144630972,-0.207156880485132,1.22741048343518,-0.106637539919989,-0.199440623564089,-0.352062025116104
"2",28,"5-022","5-022.11","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - KAWEAH","SCRO",441048,-5.23706085540169,-1.54594170087533,0.2394547036342,0.0400101591967342,-0.00819445906254025,-0.0679520073390694,-0.168086880470804,-0.0968791155278644,3.69111915452636,-0.199444544437465,-0.0597575482765291,0.0712077649429391
"3",36,"5-022","5-022.01","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - EASTERN SAN JOAQUIN","NCRO",764802,-2.18869665330093,-0.880948437947331,0.269125080857235,0.0351640969247399,-0.600360146510231,-0.0750457209413466,0.180807909784273,0.982528965792425,1.30774821535359,-0.233960983932495,0.525314425568884,0.801721056008152
"4",52,"5-021","5-021.57","SACRAMENTO VALLEY","SACRAMENTO VALLEY - VINA","NRO",184917,-1.40985954223006,-0.251849592020372,0.0617669120459301,0.0370706960053742,0.110726067385019,-0.00746669124728281,-0.0241716188775466,0.50523379501166,1.15800995020969,-0.0246962160405559,-0.118192758632301,0.529405413889206
"5",57,"5-006","5-006.05","REDDING AREA","REDDING AREA - MILLVILLE","NRO",65616,-0.144822270105006,2.05778161871776,0.68499570939271,-0.0494661995385942,0.114992528471819,-0.0776399232715139,-0.111519521586473,-0.346100555854533,2.20260388882276,-0.734461908931304,-0.192632451743332,-0.23458103426806
"6",67,"5-021","5-021.69","SACRAMENTO VALLEY","SACRAMENTO VALLEY - WYANDOTTE CREEK","NRO",59382,-3.11278763211901,0.166758119578974,0.0818097642202178,0.169689806389442,0.0619472041194293,-0.122989070411771,-0.441492363108283,1.02812087412451,3.27954575169798,0.0878800421692245,-0.184936274531201,1.46961323723279
"7",73,"5-021","5-021.70","SACRAMENTO VALLEY","SACRAMENTO VALLEY - BUTTE","NRO",266537,-0.711148490950721,-0.286738911751019,0.0263575858417882,0.0432618651303506,0.126711242841336,0.0351022659394325,-0.428540074971913,0.922179686113551,0.424409579199702,0.0169042792885624,-0.0916089769019036,1.35071976108546
"8",74,"5-022","5-022.03","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - TURLOCK","SCRO",348187,-1.79698167569915,-0.810109254726627,0.340530273989787,0.100708608895749,0.44229798309206,-0.200369704764251,0.224060916570754,-0.240282745859025,0.986872420972523,-0.239821665094038,-0.642667687856311,-0.464343662429779
"9",86,"5-022","5-022.19","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - EAST CONTRA COSTA","NCRO",107596,-3.42646099077865,-1.07512218876687,-0.03810865071321,0.00640827189690832,-0.663725563857002,-0.0615467344330125,0.304625795045232,-0.195344408946241,2.35133880201178,0.0445169226101183,0.602178829423989,-0.499970203991473
"10",95,"5-022","5-022.17","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - KETTLEMAN PLAIN","SCRO",63755,-10.1683468468708,8.41310858362871,-0.0336375025797444,-0.0275486792519144,-0.357184709747904,-0.0830622642376887,-0.409587837627293,-0.74026007396877,18.5814554304995,0.00608882332783003,0.274122445510215,-0.330672236341477
"11",106,"5-022","5-022.07","SAN JOAQUIN VALLEY","SAN JOAQUIN VALLEY - DELTA-MENDOTA","SCRO",764964,-6.6386925717979,-0.987929352235216,0.20644423014846,0.0476965473264654,0.807158799036524,0.197816428486047,-1.22841381591779,0.317426668283484,5.65076321956269,-0.158747682821995,-0.609342370550477,1.54584048420128
